"","ID","ID-IC","Name","State-District","Long","Lat","1901","1911","1921","1931","1941","1951","1961","1981","1991","2001","2011"
"182","Nav6619","Nav2424","Navsari","24_24",72.930181,20.94521,23650,19800,23010,28792,44375,57216,127551,234280,247746,249613,258961
"183","Sik10819","Sik813","Sikar","08_13",75.1498,27.619,21600,22400,21100,26300,32400,44200,81696,149227,159881,201042,255083
"184","Sur7816","Sur2408","SurendranagarDudhrej","24_08",71.632125,22.732235,NA,NA,NA,NA,NA,NA,92448,138463,156205,219585,253582
"185","Kum919","Kum3321","Kumbakonam","33_21",79.379228,10.965104,59800,64700,60700,62400,67100,91700,91529,194664,219441,233649,252332
"186","Kat15735","Kat1010","Katihar","10_10",87.5768,25.5306,NA,10300,14600,15900,26400,42400,79783,147173,170100,213105,252310
"187","Cha15944","Cha1017","Chapra","10_17",84.7541,25.7806,55800,50800,50700,56400,65900,75800,92651,149621,162077,215739,252231
"188","Bha10308","Bha807","Bharatpur","08_07",77.503479,27.218225,43700,34000,33500,30200,35600,37400,55143,149036,156880,205235,252109
"189","Ran13904","Ran1910","Ranaghat","19_10",88.571006,23.172585,11900,12600,12000,13800,18400,32000,180091,206755,225533,224526,251166
"190","Kha12935","Kha309","Khanna","03_09",76.2262,30.7029,NA,NA,NA,NA,NA,12700,76387,115961,141862,199066,250333
"191","Hal13458","Hal1915","Haldia","19_15",88.135184,22.076559,NA,NA,NA,NA,NA,NA,78172,107603,137659,211644,248888
"192","Sam11511","Sam904","Sambhal","09_04",78.5725,28.5858,42900,45300,41600,44300,53900,61500,92846,120607,165841,202887,247596
"193","Yav6249","Yav2714","Yavatmal","27_14",78.1346,20.391,10600,13600,17300,21000,26600,36000,85718,137174,158918,209625,244925
"194","Lal14548","Lal1907","Lalgola","19_07",88.2522,24.4219,NA,NA,NA,NA,NA,NA,69351,122049,131930,196932,241384
"195","Bul11437","Bul911","Bulandshahr","09_11",77.8616,28.4033,19000,19400,19600,24900,29800,37500,70026,112650,138337,190253,241371
"196","Rai15773","Rai1904","Raiganj","19_04",88.1307,25.6276,NA,NA,NA,NA,NA,15500,123695,185387,197303,214224,238824
"197","Eru274","Eru3210","ErumeliSouth","32_10",76.8426226944999,9.46531098248999,NA,NA,NA,NA,NA,NA,109904,160582,169784,229609,238573
